TYPE,PROJECT,QUAD_24K,SM_NAME,SM_TYPE,SMD_TYPE,MVMTDATE,COL_DATE,NC_CNTY,ROAD,RD_AZ,SA_ASPCT,DATA_SRC,EL_HEAD,EL_APEX,EL_TOE,SLP_CNFG,D_MASS_L,D_MASS_W,D_MASS_T,TRKLENG,DAMAGE,MVMT_HIS,REMARKS,SOURCE1,SOURCE2,NCGSINVS,LAT,LONG,COMBTYPE
Deposit,Geohazards,DELLWOOD,DW1,,composite debris fan,Unknown,,Haywood,,0,5,Dr. Michalek,0,2960,2750,Unmodified,5030,1476,0,0,,,,"Michalek, D.D., 1968, Fanlike features and related periglacial phenomena of the southern Blue Ridge [Ph.D Dissertation]:  University of North Carolina at Chapel Hill, 198 p.","Hadley, J.B. and Goldsmith, R., 1963, Geology of the eastern Great Smoky Mountains, North Carolina and Tennessee.  U.S. Geological Survey Professional Paper 349-B, 118 p.",,35.508,-83.0318,composite debris fan
Deposit,Geohazards,DELLWOOD,DW2,,composite debris fan,Unknown,,Haywood,,0,352,Dr. Michalek,0,3000,2760,Unmodified,1755,1968,0,0,,,,"Michalek, D.D., 1968, Fanlike features and related periglacial phenomena of the southern Blue Ridge [Ph.D Dissertation]:  University of North Carolina at Chapel Hill, 198 p.","Hadley, J.B. and Goldsmith, R., 1963, Geology of the eastern Great Smoky Mountains, North Carolina and Tennessee.  U.S. Geological Survey Professional Paper 349-B, 118 p.",,35.51611,-83.03984,composite debris fan
Deposit,Geohazards,DELLWOOD,DW3,,debris fan,Unknown,,Haywood,,0,4,Dr. Michalek,0,3570,2860,Unmodified,4560,4347,0,0,,,,"Michalek, D.D., 1968, Fanlike features and related periglacial phenomena of the southern Blue Ridge [Ph.D Dissertation]:  University of North Carolina at Chapel Hill, 198 p.","Hadley, J.B. and Goldsmith, R., 1963, Geology of the eastern Great Smoky Mountains, North Carolina and Tennessee.  U.S. Geological Survey Professional Paper 349-B, 118 p.",,35.50312,-83.06392,debris fan
Deposit,Geohazards,DELLWOOD,DW4,,composite debris fan,Unknown,,Haywood,,0,176,Dr. Michalek,0,3710,2980,Unmodified,7130,1411,0,0,,,,"Michalek, D.D., 1968, Fanlike features and related periglacial phenomena of the southern Blue Ridge [Ph.D Dissertation]:  University of North Carolina at Chapel Hill, 198 p.","Hadley, J.B. and Goldsmith, R., 1963, Geology of the eastern Great Smoky Mountains, North Carolina and Tennessee.  U.S. Geological Survey Professional Paper 349-B, 118 p.",,35.5388,-83.0889,composite debris fan
Process,Geohazards,DUNSMORE MOUNTAIN,DM40,Debris Flow,,11/05-06/1977,,Henderson,,0,96,"J. Pomeroy, R. Otteman",3140,0,0,,0,25,3,0,Unknown,Unknown,Pomeroy 50,"Pomeroy, J.S., 1991, Map showing late 1977 debris avalanches southwest of Asheville, western North Carolina:  U.S. Geological Survey Open-File Report 91-334, 25 p., map scale 1:24,000.","Otteman, R.A., 2001, Using GIS to model debris flow susceptibility for the Bent Creek Experimental Forest near Asheville, North Carolina [Master's Thesis]:  East Carolina University, 181 p.",,35.44678,-82.65733,Debris Flow
Process,Geohazards,DUNSMORE MOUNTAIN,DM41,Debris Flow,,11/05-06/1977,,Henderson,,0,219,"J. Pomeroy, R. Otteman",0,0,0,,0,0,0,0,Unknown,Unknown,,"Pomeroy, J.S., 1991, Map showing late 1977 debris avalanches southwest of Asheville, western North Carolina:  U.S. Geological Survey Open-File Report 91-334, 25 p., map scale 1:24,000.","Otteman, R.A., 2001, Using GIS to model debris flow susceptibility for the Bent Creek Experimental Forest near Asheville, North Carolina [Master's Thesis]:  East Carolina University, 181 p.",,35.44684,-82.64737,Debris Flow
Process,Blue Ridge Parkway,LINVILLE FALLS,BRP MM 323,Weathered-rock slide,,09/06-08/2004,11/17/2004,McDowell,Blue Ridge Parkway,317,240,National Park Service,3340,0,3235,Road Cut,170,110,0,0,"Blocked roadway; estimated $550,000 in repairs",Initial movement during Hurricane Frances,Road cut into head scarp; scarp not exactly arcuate -- same joint controls on left and right flanks of slide,,,"RW, RL, BC, CM",35.90686,-81.97183,Weathered-rock slide
Process,Blue Ridge Parkway,CELO,BRP MM 345.8,Debris Slide,,09/06-08/2004,11/17/2004,McDowell,Blue Ridge Parkway,240,160,National Park Service,3430,0,3380,Road Embankment,100,200,15,0,Destroyed/removed one lane of roadway,Repairs at this location in the 1980s; failed during Hurricane Frances,Old rock wall approximately 125 feet downslope breached and/or toppled by failure,,,"RW, RL, BC, CM",35.75786,-82.17611,Debris Slide
Process,Blue Ridge Parkway,OLD FORT,BRP MM 348,Debris Flow,,09/06-08/2004,11/17/2004,McDowell,Blue Ridge Parkway,80,156,National Park Service,4480,0,0,Road Embankment,0,110,15,0,One and a half lanes damaged/destroyed,Initial failure during Hurricane Frances; continued movement during Hurricane Ivan,Flows into headwaters of Bear Drive Branch; observed mudline 15 feet high in tree downslope,,,"RW, RL, BC, CM",35.72976,-82.20472,Debris Flow
Deposit,Blue Ridge Parkway,CRAGGY PINNACLE,CPRR-2,,colluvial hollow,Unknown,1/13/2005,Buncombe,Blue Ridge Parkway,134,219,NCGS,0,3400,0,Unmodified,0,0,0,0,,,,,,"RW, RL",35.66135,-82.45928,colluvial hollow
Deposit,Blue Ridge Parkway,CRAGGY PINNACLE,CPR-100,,colluvial hollow,Unknown,1/13/2005,Buncombe,Blue Ridge Parkway,117,193,NCGS,0,3360,3160,Unmodified,500,100,0,0,,,,,,"RW, RL",35.66673,-82.46323,colluvial hollow
Deposit,Blue Ridge Parkway,CRAGGY PINNACLE,CPR-101,,colluvium undiff,Unknown,1/13/2005,Buncombe,Blue Ridge Parkway,74,158,NCGS,0,3420,3000,Unmodified,900,300,0,0,,,,,,"RW, RL",35.6672,-82.46661,colluvium undiff
Deposit,Blue Ridge Parkway,CRAGGY PINNACLE,CPR-84,,colluvium undiff,Unknown,1/13/2005,Buncombe,Blue Ridge Parkway,71,150,NCGS,0,3360,3080,Unmodified,800,200,0,0,,,,,,"RW, RL",35.66074,-82.48226,colluvium undiff
Deposit,Blue Ridge Parkway,MONTREAT,MRR-16,,block field,Unknown,1/10/2005,Yancey,Blue Ridge Parkway,98,18,NCGS,0,5360,5200,Unmodified,250,800,5,0,,,,,,"RW, RL",35.71576,-82.27556,block field
Deposit,Blue Ridge Parkway,MONTREAT,MRR-17,,talus,Unknown,1/10/2005,Buncombe,Blue Ridge Parkway,147,228,NCGS,0,5280,5120,Unmodified,300,400,0,0,,,,,,"RW, RL",35.71989,-82.28114,talus
Deposit,Blue Ridge Parkway,MONTREAT,MRR-18,,block stream,Unknown,1/10/2005,Buncombe,Blue Ridge Parkway,139,213,NCGS,0,5320,5240,Unmodified,0,0,0,0,,,,,,"RW, RL",35.72144,-82.28275,block stream
Deposit,Blue Ridge Parkway,MONTREAT,MRR-19,,other-combination,Unknown,1/10/2005,Buncombe,Blue Ridge Parkway,90,175,NCGS,0,6000,4800,Unmodified,2300,500,0,0,,,,,,"RW, RL",35.72458,-82.2868,other-combination
Deposit,Blue Ridge Parkway,MONTREAT,MRR-20,,other-combination,Unknown,1/10/2005,Buncombe,Blue Ridge Parkway,51,149,NCGS,0,5800,5200,Unmodified,2000,500,0,0,,,,,,"RW, RL",35.72411,-82.28996,other-combination
Deposit,Blue Ridge Parkway,MONTREAT,MRR-20B,,block stream,Unknown,1/10/2005,Buncombe,Blue Ridge Parkway,115,213,NCGS,0,5560,5280,Unmodified,0,0,0,0,,,,,,"RW, RL",35.72638,-82.29446,block stream
Process,Blue Ridge Parkway,MONTREAT,MRR-21A,Debris Slide,,Unknown,1/10/2005,Buncombe,Blue Ridge Parkway,106,188,NCGS,5560,0,5500,Road Cut,40,20,6,0,Unknown,Unknown,,,,"RW, RL",35.72661,-82.29575,Debris Slide
Process,Blue Ridge Parkway,MONTREAT,MRR-21B,Debris Slide-Flow,,Unknown,1/10/2005,Buncombe,Blue Ridge Parkway,115,200,NCGS,5560,0,5500,Road Cut,150,20,8,0,Unknown,Unknown,,,,"RW, RL",35.72671,-82.29619,Debris Slide-Flow
Process,Geohazards,MARBLE,Vengeance Creek Landslide,Debris Flow,,12/23/1990,,Cherokee,Derreberry Road,0,215,USFS,2250,0,0,Road Embankment,0,60,0,120,Danger of future blockage of the creek,Unknown,Two seasons of high rainfall coupled with a storm,,,,35.15,-83.8875,Debris Flow
Process,Geohazards,HAYESVILLE,Leatherwood Road Landslide,Debris Flow,,12/23/1990,,Clay,Leatherwood Road,0,133,USFS,3280,0,0,Unmodified,0,90,0,950,Sedimentation in creek; debris dam in creek,Unknown,Two seasons of high rainfall coupled with a storm.,,,,35.10833,-83.85833,Debris Flow
Process,Geohazards,WAYAH BALD,Moore Landslide,Debris Flow,,2/16/1990,,Macon,North side of Wayah Road,0,218,USFS,2800,0,2520,Unmodified,0,50,0,1500,Destroyed private residence garage and piled up debris to roof level.  Temporarily blocked NC Road 1310 adjacent to Wayah Creek,Unknown,Pre-restoration risks to Locust Branch Road (FDR 316) may be threatened.  Site productivity may be lowered without treatment to affected areas.,,,,35.16666,-83.54166,Debris Flow
Process,Geohazards,MONTREAT,BRP Mile 357.7,Debris Flow,,10/04-05/1995,,Buncombe,N.C. Highway 128 at the Parkway,0,190,NCGS,5677,0,0,Road Cut,0,0,0,0,Closed the parkway for 2 weeks,,Hurricane Opal (NCGS Bull. 98 ref. M.P. 357.7)  BRP milepost 357.7 near junction with NC 128 (355.4); no field evidence observed on 7/14/04; could this perhaps be the same as Blackstock Knob debris flow?,,,,35.73046,-82.30815,Debris Flow
Process,Geohazards,DUART,Deed Earth Slide,Earth Slide,,Sep-99,,Bladen,N.C. Highway 87,160,110,NCDOTGT,150,0,0,Road Embankment,190,350,20,0,Embankment repair needed on NC 87,Triggered by Hurricane Floyd,NCDOT drill data on file.,,,,34.7682,-78.8106,Earth Slide
Process,Geohazards,CLINGMANS DOME,Newfound Gap 441,Rock Slide,,5/11/1999,7/1/1999,Swain,U.S. Highway 441,133,219,NCGS,4538,0,0,Road Cut,80,120,4,0,Closed portion of highway,Unknown,,,,"CM, MC, RW",35.60215,-83.42659,Rock Slide
Process,Blue Ridge Parkway,CELO,Crabtree Meadows BRP,Rock Slide,,6/15/1999,"07/2/1999, 7/14/2004",McDowell,Blue Ridge Parkway,63,155,NCGS,3785,0,0,Road Cut,75,45,9,0,Closed parkway for repairs,Evidence of earlier movement,Structural change near right flank of slide; graphitic rock close to seepage zone,,,"CM, MC, RW, RL",35.81442,-82.13971,Rock Slide
Process,Geohazards,NEW HILL,U.S. 1 MP 91W,Weathered-rock slide,,Feb-97,9/9/1999,Wake,U.S. Highway 1,60,163,NCGS,345,0,330,Road Cut,50,240,0,0,,Failures continued through winter-spring 1998,,,,RW,35.66055,-78.94769,Weathered-rock slide
Process,Geohazards,APEX,U.S. 64 Apex WF,Weathered-rock slide,,Mid-late 04/1998,9/30/1999,Wake,"U.S. Highway 64, 0.5 mile west of Salem St",0,355,NCGS,470,0,0,Road Cut,0,0,0,0,,Evidence of movement seen on 9/30/99,Hurricane Floyd (?),,,RW,35.7498,-78.8554,Weathered-rock slide
Process,Blue Ridge Parkway,CRAGGY PINNACLE,Potato Field Gap/CPR-1,Rock Slide,,4/24/2003,,Buncombe,Blue Ridge Parkway,351,81,NCGS,4639,0,0,Road Cut,8,25,5,0,Closed Parkway,,Triggered by heavy rainfall; volume of the largest block that slid into the road was about 180 cubic feet (5 cubic meters),,,RW,35.68904,-82.40948,Rock Slide
Process,Geohazards,APEX,Arbor Crest,Debris Slide,,May-03,5/14/2003,Wake,off Sunset Lake,0,45,NCGS,390,0,0,Embankment - Not Road Related,125,175,10,0,Potential damage to 3 homes in subdivision; scarp at foundation 5/16,,Trans-rotational slide in 35 ft embankment; mixed lith. rock frag. 5-7% mica in embankment. Emb. filled in draw? No structural data available.  Displace mass dimensions approximate.,,,"RW, CD",35.67951,-78.82528,Debris Slide
Process,Geohazards,BURNSVILLE,Mountain Air Development,Debris Slide,,March - April 2003,,Yancey,off N.C. 1136 on Mountain Air Drive,0,185,NCGS/LQS,3280,0,0,Road Embankment,280,190,50,0,Sedimentation in trout stream; golf course and road damage,,50 foot embankment in wet draw for golf course,,,RW,35.87522,-82.35681,Debris Slide
Process,Geohazards,RALEIGH WEST,Target,Debris Slide,,Unknown,7/15/1998,Wake,Lynn Road at U.S. Highway 70,0,280,NCGS,340,0,0,Embankment - Not Road Related,120,300,10,0,Sediment covered Lynn Road,Began moving in winter 1999,"Soil derived from muscovite schist, contains 20-30% mica, SM-ML; slope stabilized with gabion wall",,,"JB, RW",35.8712,-78.7209,Debris Slide
Process,Geohazards,WESSER,Whippoorwill Slide,Debris Slide-Flow,,05/05-06/2003,6/30/2004,Swain,Whippoorwill Ext,0,50,EMA-Swain County/NCGS,2140,0,0,Other-cut through embankment,50,40,10,0,Front yard partly gone beside two story deck,,Swain County #11; Buried tree stump found in left flank of scarp;  gutter downspout drains into embankment at head of slide;,,,"RW, RL",35.3193,-83.5351,Debris Slide-Flow
Deposit,Geohazards,SPRING CREEK,SC4,,debris fan,Unknown,,Madison,,0,66,Dr. Michalek,0,2080,1940,,1329,607,0,0,,,,"Michalek, D.D., 1968, Fanlike features and related periglacial phenomena of the southern Blue Ridge [Ph.D Dissertation]:  University of North Carolina at Chapel Hill, 198 p.",,,35.81653,-82.86389,debris fan
Deposit,Geohazards,SPRING CREEK,SC5,,debris fan,Unknown,,Madison,,0,288,Dr. Michalek,0,2400,2120,,1985,1198,0,0,,,,"Michalek, D.D., 1968, Fanlike features and related periglacial phenomena of the southern Blue Ridge [Ph.D Dissertation]:  University of North Carolina at Chapel Hill, 198 p.",,,35.79825,-82.84463,debris fan
Deposit,Geohazards,SPRING CREEK,SC6,,debris fan,Unknown,,Madison,,0,329,Dr. Michalek,0,2400,2120,,1165,1115,0,0,,,,"Michalek, D.D., 1968, Fanlike features and related periglacial phenomena of the southern Blue Ridge [Ph.D Dissertation]:  University of North Carolina at Chapel Hill, 198 p.",,,35.79641,-82.84933,debris fan
Deposit,Geohazards,SPRING CREEK,SC7,,debris fan,Unknown,,Madison,,0,357,Dr. Michalek,0,2360,2200,,804,525,0,0,,,,"Michalek, D.D., 1968, Fanlike features and related periglacial phenomena of the southern Blue Ridge [Ph.D Dissertation]:  University of North Carolina at Chapel Hill, 198 p.",,,35.78542,-82.86449,debris fan
Deposit,Geohazards,SPRUCE PINE,SP1,,debris fan,Unknown,,Avery,,0,120,Dr. Michalek,0,3040,2800,,4085,6742,0,0,,,,"Michalek, D.D., 1968, Fanlike features and related periglacial phenomena of the southern Blue Ridge [Ph.D Dissertation]:  University of North Carolina at Chapel Hill, 198 p.",,,35.98562,-82.02731,debris fan
Deposit,Geohazards,WHITE ROCK,WR1,,debris fan,Unknown,,Madison,,0,206,Dr. Michalek,0,2360,2200,,1017,640,0,0,,,,"Michalek, D.D., 1968, Fanlike features and related periglacial phenomena of the southern Blue Ridge [Ph.D Dissertation]:  University of North Carolina at Chapel Hill, 198 p.",,,35.87987,-82.73514,debris fan
Deposit,Geohazards,BOONE,BN1,,block field,Unknown,,Watauga,,0,345,Dr. Michalek,0,3200,3000,,919,1296,0,0,,,,"Michalek, D.D., 1968, Fanlike features and related periglacial phenomena of the southern Blue Ridge [Ph.D Dissertation]:  University of North Carolina at Chapel Hill, 198 p.",,,36.20194,-81.7223,block field
Deposit,Geohazards,BOONE,BN2,,block field,Unknown,,Watauga,,0,356,Dr. Michalek,0,3400,3200,,689,1640,0,0,,,,"Michalek, D.D., 1968, Fanlike features and related periglacial phenomena of the southern Blue Ridge [Ph.D Dissertation]:  University of North Carolina at Chapel Hill, 198 p.",,,36.2001,-81.72202,block field
Deposit,Geohazards,BOONE,BN10,,debris fan,Unknown,,Watauga,,0,187,Dr. Michalek,0,3480,3240,,886,738,0,0,,,,"Michalek, D.D., 1968, Fanlike features and related periglacial phenomena of the southern Blue Ridge [Ph.D Dissertation]:  University of North Carolina at Chapel Hill, 198 p.",,,36.17831,-81.72992,debris fan
Process,Blue Ridge Parkway,OLD FORT,BRP MM 349,Debris Flow,,09/06-08/2004,11/17/2004,McDowell,Blue Ridge Parkway,81,44,National Park Service,4630,0,0,Road Embankment,0,60,0,0,One lane collapsed/removed,Initial movement during Hurricane Frances; additional movement during Hurricane Ivan,Flows into Licklog Branch; blocked/clogged drain observed on right flank of slope,,,"RW, RL, BC, CM",35.72479,-82.20915,Debris Flow
Process,Blue Ridge Parkway,OLD FORT,BRP MM 351,Other - Subsidence,,09/06-08/2004,11/17/2004,McDowell,Blue Ridge Parkway,47,136,National Park Service,4520,0,0,Road Embankment,0,75,0,0,Threatens to undermine one lane of roadway,Movement occurred during Hurricane Frances,Small fire at this location approximately 15 year previous (LM); culvert running from cut slope side into middle of slide is partially to totally blocked,,,"RW, RL, BC, CM",35.7149,-82.23333,Other - Subsidence
Process,Blue Ridge Parkway,SHINING ROCK,SRR-3,Debris Slide,,09/06-08/2004,"09/15/04, 10/12/05",Transylvania,Blue Ridge Parkway,0,40,National Park Service,4750,0,4700,Road Cut,60,35,12,0,"Blocked both lanes of road; estimated cost of repair is $105,000",Failed during Hurricane Frances,,,,"RW, RL, BC, CM",35.35852,-82.79421,Debris Slide
Process,Blue Ridge Parkway,SAM KNOB,BRP MM 427,Weathered-rock slide,,09/06-08/2004,9/15/2004,Haywood,Blue Ridge Parkway,325,55,National Park Service,5600,0,0,Road Cut,0,0,0,0,Blocked road,Failed during Hurricane Frances,,,,"RW, RL, BC, CM",35.31792,-82.9622,Weathered-rock slide
Process,Geohazards,SCALY MOUNTAIN,Peeks Creek,Debris Flow,,9/16/2004,09/19/2004*,Macon,,0,20,NCDEM,4420,0,2140,Unmodified,350,100,10,11880,Killed 5 people; destroyed 15 homes; damages 15 others,Failure on Fishhawk Mountain in 1876; failed during Hurricane Ivan,"*Also on 9/20, 9/28, 10/1, 10/5, 10/15, 10/27, 11/12, 11/13 in 2004; 4/20, 11/2, 11/8, 11/10, 11/17, 12/1, 12/13 in 2005; reports of tornado in area",,,"RW, RL, BC, CM, JR, AW, SF, KG",35.1015,-83.31483,Debris Flow
Process,Geohazards,SCALY MOUNTAIN,PC EF1,Debris Flow,,9/16/2004,"09/19, 20, 28/2004",Macon,Fishhawk Mountain Road,213,127,NCGS/NCDEM,2560,0,2470,Road Embankment,230,20,0,0,Destroyed road,Failed during Hurricane Ivan,,,,"RW, RL, CM, JR",35.1175,-83.2985,Debris Flow
Process,Geohazards,SCALY MOUNTAIN,PC EF2,Debris Slide,,9/16/2004,"09/19, 20, 28/2004",Macon,Fishhawk Mountain Road,225,145,NCGS/NCDEM,2680,0,2590,Road Embankment,0,0,0,0,Destroyed road,Failed during Hurricane Ivan,New scarp developed adjacent to failure approximately 35 feet southwest.  Scarp is approximately 55 feet long.,,,"RW, RL, CM, JR",35.1156,-83.2998,Debris Slide
Deposit,Geohazards,BOONE,BN18,,debris fan,Unknown,,Watauga,,0,308,Dr. Michalek,0,3600,3400,,1542,492,0,0,,,,"Michalek, D.D., 1968, Fanlike features and related periglacial phenomena of the southern Blue Ridge [Ph.D Dissertation]:  University of North Carolina at Chapel Hill, 198 p.",,,36.15998,-81.71885,debris fan
Deposit,Geohazards,BOONE,BN19,,debris fan,Unknown,,Watauga,,0,78,Dr. Michalek,0,3800,3640,,804,328,0,0,,,,"Michalek, D.D., 1968, Fanlike features and related periglacial phenomena of the southern Blue Ridge [Ph.D Dissertation]:  University of North Carolina at Chapel Hill, 198 p.",,,36.16399,-81.69491,debris fan
Deposit,Geohazards,ELK MILLS,EM1,,debris fan,Unknown,,Avery,,0,65,Dr. Michalek,0,2950,2680,,1165,1247,0,0,,,,"Michalek, D.D., 1968, Fanlike features and related periglacial phenomena of the southern Blue Ridge [Ph.D Dissertation]:  University of North Carolina at Chapel Hill, 198 p.",,,36.27041,-81.90466,debris fan
Deposit,Geohazards,ELK PARK,EP1,,debris fan,Unknown,,Avery,,0,325,Dr. Michalek,0,4400,4240,,1870,558,0,0,,,,"Michalek, D.D., 1968, Fanlike features and related periglacial phenomena of the southern Blue Ridge [Ph.D Dissertation]:  University of North Carolina at Chapel Hill, 198 p.",,,36.19818,-81.90293,debris fan
Deposit,Geohazards,ELK PARK,EP2,,debris fan,Unknown,,Avery,,0,333,Dr. Michalek,0,4520,4200,,3510,853,0,0,,,,"Michalek, D.D., 1968, Fanlike features and related periglacial phenomena of the southern Blue Ridge [Ph.D Dissertation]:  University of North Carolina at Chapel Hill, 198 p.",,,36.19538,-81.90432,debris fan
Deposit,Geohazards,ELK PARK,EP3,,debris fan,Unknown,,Avery,,0,211,Dr. Michalek,0,4000,3420,,5069,4528,0,0,,,,"Michalek, D.D., 1968, Fanlike features and related periglacial phenomena of the southern Blue Ridge [Ph.D Dissertation]:  University of North Carolina at Chapel Hill, 198 p.",,,36.17764,-81.89505,debris fan
Process,Blue Ridge Parkway,MONTREAT,MRR-23,Rock Fall,,Unknown,1/10/2005,Buncombe,Blue Ridge Parkway,259,165,NCGS,0,0,0,Road Cut,0,0,0,0,,,,,,"RW, RL",35.72625,-82.3014,Rock Fall
Deposit,Blue Ridge Parkway,MONTREAT,MRR-24,,block stream,Unknown,1/10/2005,Buncombe,Blue Ridge Parkway,74,182,NCGS,0,5720,5400,Unmodified,900,350,0,0,,,,,,"RW, RL",35.73083,-82.30926,block stream
Process,Blue Ridge Parkway,MONTREAT,MRR-25,Rock Fall,,Unknown,1/10/2005,Buncombe,Blue Ridge Parkway,113,198,NCGS,0,0,0,Road Cut,0,0,0,0,,,To investigate in detail in the future,,,"RW, RL",35.73339,-82.31652,Rock Fall
Deposit,Blue Ridge Parkway,MONTREAT,MRR-27,,block stream,Unknown,1/10/2005,Buncombe,Blue Ridge Parkway,152,240,NCGS,0,5860,5600,Unmodified,600,150,0,0,,,Wall constructed across deposit,,,"RW, RL",35.73751,-82.32294,block stream
Deposit,Geohazards,ELK PARK,EP4,,debris fan,Unknown,,Avery,,0,211,Dr. Michalek,0,3800,3600,,1673,968,0,0,,,,"Michalek, D.D., 1968, Fanlike features and related periglacial phenomena of the southern Blue Ridge [Ph.D Dissertation]:  University of North Carolina at Chapel Hill, 198 p.",,,36.17835,-81.90153,debris fan
Deposit,Geohazards,ELK PARK,EP5,,debris fan,Unknown,,Avery,,0,243,Dr. Michalek,0,3760,3320,,3904,1460,0,0,,,,"Michalek, D.D., 1968, Fanlike features and related periglacial phenomena of the southern Blue Ridge [Ph.D Dissertation]:  University of North Carolina at Chapel Hill, 198 p.",,,36.18082,-81.90913,debris fan
Deposit,Geohazards,ELK PARK,EP6,,debris fan,Unknown,,Avery,,0,328,Dr. Michalek,0,3310,3040,,1427,525,0,0,,,,"Michalek, D.D., 1968, Fanlike features and related periglacial phenomena of the southern Blue Ridge [Ph.D Dissertation]:  University of North Carolina at Chapel Hill, 198 p.",,,36.1685,-81.93488,debris fan
Deposit,Geohazards,ELK PARK,EP7,,debris fan,Unknown,,Avery,,0,313,Dr. Michalek,0,3400,3200,,951,1066,0,0,,,,"Michalek, D.D., 1968, Fanlike features and related periglacial phenomena of the southern Blue Ridge [Ph.D Dissertation]:  University of North Carolina at Chapel Hill, 198 p.",,,36.15723,-81.94553,debris fan
Deposit,Geohazards,ELK PARK,EP8,,debris fan,Unknown,,Avery,,0,117,Dr. Michalek,0,3400,3160,,2346,951,0,0,,,,"Michalek, D.D., 1968, Fanlike features and related periglacial phenomena of the southern Blue Ridge [Ph.D Dissertation]:  University of North Carolina at Chapel Hill, 198 p.",,,36.14792,-81.97552,debris fan
Deposit,Blue Ridge Parkway,MONTREAT,MRR-28,,block stream,Unknown,1/10/2005,Buncombe,Blue Ridge Parkway,135,220,NCGS,0,5600,5300,Unmodified,800,250,0,0,,,,,,"RW, RL",35.74496,-82.32989,block stream
Deposit,Blue Ridge Parkway,MONTREAT,MRR-29,,block stream,Unknown,1/11/2005,Buncombe,Blue Ridge Parkway,60,330,NCGS,0,5420,5280,Unmodified,300,125,10,0,,,Foliation controls the block stream; potential rock fall from overhang on left flank of block stream,,,"RW, RL",35.74902,-82.33629,block stream
Process,Blue Ridge Parkway,MONTREAT,MRR-30,Rock Slide,,Unknown,1/11/2005,Buncombe,Blue Ridge Parkway,252,346,NCGS,5280,0,5260,Road Cut,30,20,10,0,Unknown,Unknown,Potential block slide at top of old failure:  4'x5'x6' block of pegmatite,,,"RW, RL",35.74868,-82.33698,Rock Slide
Deposit,Blue Ridge Parkway,MONTREAT,MRR-31,,block stream,Unknown,1/11/2005,Buncombe,Blue Ridge Parkway,78,350,NCGS,0,5420,5260,Unmodified,400,90,5,0,,,,,,"RW, RL",35.74838,-82.33796,block stream
Deposit,Blue Ridge Parkway,CRAGGY PINNACLE,CPR-99,,block stream,Unknown,1/13/2005,Buncombe,Blue Ridge Parkway,37,99,NCGS,0,3520,2960,Unmodified,0,0,0,0,,,Two block streams coalesce into a single block stream just upslope of the Parkway,,,"RW, RL",35.65853,-82.48492,block stream
Process,Geohazards,FINES CREEK,Reifert Residence,Creep,,,3/15/2005,Haywood,44 Emerald Mountain Rd,0,223,Reiferts - Homeowners,2760,0,0,Embankment - Not Road Related,0,0,0,0,Threatening porch on home,,,,,"RW, RL",35.67694,-82.93224,Creep
Process,Geohazards,CRUSO,Cruso Church of Christ,Debris Flow,,Unknown,3/15/2005,Haywood,US Highway 276,45,140,NCGS,0,0,3000,Unmodified,0,15,2,75,,,,,,"RW, RL",35.4112,-82.81013,Debris Flow
Process,Geohazards,SHINING ROCK,Big East Fork Trailhead,Rock Fall,,Unknown,3/15/2005,Haywood,US Highway 276,37,167,NCGS,0,0,0,Road Cut,0,0,0,0,,,,,,"RW, RL",35.36595,-82.81782,Rock Fall
Process,Geohazards,CORBIN KNOB,Nickajack Creek,Debris Flow,,09/16-17/2004,10/15/2004,Macon,Orchard Hill,0,75,Warren Cabe--Macon County EM,3130,0,3120,Unmodified,25,30,3,0,,Failed during Hurricane Ivan,"Near headwaters of Stansfield Branch; On same road, Royce Woods grandmother remembers slide in the area approximately 125 years ago.",,,"RL, RW",35.1264,-83.3107,Debris Flow
Process,Geohazards,FINES CREEK,Betsy Gap,Debris Slide,,09/16-17/2004,9/24/2004,Madison,N.C. Highway 209,0,355,Asheville Citizen Times,3440,0,3440,Embankment - Not Road Related,0,0,0,0,Basement wall collapsed damaging house,Failed during Hurricane Ivan,,,,"RW, RL, CM",35.69492,-82.88959,Debris Slide
Process,Geohazards,FINES CREEK,Hebo Mountain,Debris Flow,,09/16-17/2004,9/24/2004,Haywood,N.C. Highway 209,65,330,NCGS,3660,0,3540,Road Embankment,0,100,5,300,Blocked NC Highway 209,Failed during Hurricane Ivan,These details concern failures along the driveway from NC 209 up to the house; failures on 3 sides of the house upslope,,,"RW, RL",35.6825,-82.90971,Debris Flow
Process,Geohazards,ENKA,Starnes Cove DF1,Debris Flow,,09/16-17/2004,9/23/2004,Buncombe,NA,65,145,Asheville Citizen Times,3400,0,2000,Road Embankment,20,43,10,3350,Destroyed 1 home; damaged 1 home,Failed during Hurricane Ivan,"Coalesces with DF2, DF3, and DF4",,,"RW, RL",35.5908,-82.67032,Debris Flow
Process,Landslide Hazard Mapping,BURNSVILLE,Mine Fork School,Debris Slide,,Unknown,1978,Yancey,NC Highway 197,350,80,NCDOT,0,0,2500,Road Cut,0,340,0,0,Unknown,Unknown,,NCDOT data provided by Anne Witt; locations determined based on descriptions in spreadsheet,,,35.9614,-82.2837,Debris Slide
